"CLASIFFICATION_FINAL","n","percent"
1,1822,0.00868798130796557
2,390,0.00185966669050855
3,76221,0.363450396967313
4,608,0.00289917268674153
5,5302,0.0252819302386572
6,25398,0.121107216937272
7,99974,0.476713635171542
